fips,state,county,brfss_id,landsqmi,areasqmi,totalpop2010,pctover62,pctmales,pctfemales,pctwhite1,pctblack1,pctindian1,pctasian1,pcthawnpi1,pctother1,avghhinc,avghhsocsec,pctpoort,pctpublictrans,pctbachelorsormore,pctbroadbandint,pctnointernet,pctnovehicles,sef_rank,ho_rank,hf_rank,pctuninsured,numofpcp,pctfluvacc,pctsomecollege,pctunemployed,lifeexpect,pctnohealthyfood,pctrural
29189," Missouri","St. Louis ",2,507.8,523.02,998954,21.2,47.4,52.6,68.4,24.1,0.2,4.2,0,0.8,96848,20616,9.7,2.5,43.2,92.6,7,6.8,25,34,6,8.04668,1220,54,78.2861,3.009,78.2011,6.00016,1.13799
29195," Missouri","Saline ",7,755.5,766.92,23370,21.3,50,50,85.6,4.7,0.4,0.9,1.1,3.6,57578,17814,16.3,0.8,18,88.1,10.9,7.4,52,46,48,12.8017,13,49,52.286,3.03764,77.6318,11.5168,45.8066
29197," Missouri","Schuyler ",7,307.3,308.16,4431,22.7,49.3,50.7,97.4,0.5,0,0,0,0,51454,17637,15.6,0.2,11.6,75.5,23.4,5.1,96,26,87,15.0408,3,47,48.5654,4.1477,78.3693,37.2162,100
29199," Missouri","Scotland ",7,436.67,439.3,4843,20.5,49,51,97.4,1.6,0,0,0,0,62828,16670,15.8,0,12,86.4,13.1,5.9,35,14,64,22.7681,6,41,42.0039,2.85714,78.5676,3.81981,100
29201," Missouri","Scott ",5,419.99,425.86,39191,21.5,48.3,51.7,85.2,11.5,0.4,0.4,0,0.6,57116,17505,20.7,0.2,14.5,88.7,11.1,6.5,93,101,100,12.0136,19,41,54.1329,3.4171,75.1706,11.5817,41.5529
29203," Missouri","Shannon ",5,1003.82,1004,8441,25.6,48.7,51.3,95.5,0.1,0.5,0,0,0.3,43558,17778,28.5,0.8,15.8,78.6,19.8,3.9,112,99,108,16.3427,0,27,44.5238,4.99846,76.9955,7.44084,100
29205," Missouri","Shelby ",7,500.86,502.32,6373,24.4,50.3,49.7,96.8,1.9,0.1,0.1,0,0.2,56408,16021,15,0,17,87.1,12.3,4.6,23,86,16,13.7516,0,37,61.0478,3.04838,75.4496,19.4566,100
29207," Missouri","Stoddard ",5,823.22,829.02,29968,23.6,48.7,51.3,97.1,1.2,0,0,0,0,53425,17541,16.2,0.6,13.2,85.9,13.9,6.5,77,90,92,12.4662,11,32,54.4764,4.4385,75.5269,2.32637,69.7911
29209," Missouri","Stone ",4,464.03,510.78,32202,35.1,48.9,51.1,96.4,0.2,1,0.1,0.1,0.8,65929,20848,12.6,0,18.4,88.1,10.6,4.3,89,91,56,14.6165,11,39,54.0847,4.67921,76.3633,0.54738,88.687
29211," Missouri","Sullivan ",7,647.98,651.5,6714,23.3,48.3,51.7,91.4,2.9,0.7,0.1,0.2,3.5,54781,17648,17.6,0,12.2,84,14.1,5.2,39,63,44,15.4455,2,31,39.5119,3.13056,76.8528,11.9598,100
29213," Missouri","Taney ",4,632.44,651.64,51675,25.1,48.4,51.6,92.2,1.2,0.9,0.9,0,2.3,53162,18815,17.2,0.8,18.4,86.2,12.7,5.9,94,73,76,16.2236,43,39,59.1733,5.19979,77.1414,15.6632,43.8607
29215," Missouri","Texas ",5,1177.27,1179.22,26008,24.1,52.2,47.8,93,2.3,2.2,0.5,0,0.2,49621,18486,24.3,0.3,14.1,75.9,22.3,6.3,101,79,103,16.6928,9,33,52.2366,4.09156,76.8608,5.827,99.2118
29217," Missouri","Vernon ",4,826.4,836.83,21159,22.2,48.8,51.2,95.6,0.9,0.6,0.7,0,0.2,60319,18296,13.6,0.4,17.7,86.9,11.6,7.8,65,87,52,13.0893,8,35,52.228,3.14952,75.5303,14.621,58.2589
29219," Missouri","Warren ",2,428.6,437.77,32513,21.2,49.3,50.7,93.5,2.1,0.3,0.6,0.1,1.5,73852,20024,13.3,0,18.6,87.3,11.5,3.6,43,32,45,10.4979,6,50,53.4893,2.80752,78.0285,2.10975,63.0394
29221," Missouri","Washington ",3,759.91,762.49,25195,19.9,51.5,48.5,95.2,2,0.4,0.1,0,0,50553,17612,20.1,0.3,9.4,78.6,19.9,6,99,109,105,12.7275,8,33,46.1739,4.439,73.6336,9.14743,80.4763
29223," Missouri","Wayne ",5,759.18,774.06,13521,27.1,49.2,50.8,96.7,0.6,0.4,0.3,0,0,44448,16481,24.1,0.9,10.3,87.5,11.9,8.2,110,104,109,14.9676,4,14,47.1884,4.8478,73.9367,16.8687,100
29225," Missouri","Webster ",4,592.56,593.76,36202,18.4,51,49,95.7,1.1,0.5,0.4,0.2,0.5,59684,18106,16.8,0.4,16.9,81.2,17.6,7,59,31,67,14.7516,10,44,55.6885,3.10357,77.4722,3.72143,73.9296
29227," Missouri","Worth ",6,266.61,266.82,2171,29.4,48.1,51.9,97.1,0.3,0,0.2,0,0,56750,18462,15.2,0.4,17.5,89.6,10.1,2.9,29,65,15,12.2988,1,31,53.317,2.84996,72.5308,3.95829,100
29229," Missouri","Wright ",5,681.77,683.14,18815,24,49.4,50.6,96.4,0.6,0.4,0.5,0,1,48630,16815,24.9,0,11.4,82.1,16.7,9.2,102,105,104,16.5008,3,30,37.0748,4.13468,73.2124,6.05968,76.625
29510," Missouri","St. Louis city ",2,61.91,66.03,319294,16.1,48.4,51.6,46.2,46.9,0.2,3.2,0.1,1,60564,15466,24.2,9.3,35,84.6,15.1,20.3,115,110,113,12.5356,272,41,72.8527,3.82488,73.8719,3.32894,0.000313191
